angleX,angleY,angleZ,Time,Label
15,-40,21,22:53:56,Long Standing
15,-40,23,22:53:56,Long Standing
16,-20,46,22:53:57,Long Standing
-10,24,35,22:53:57,Long Standing
-27,35,1,22:53:58,Long Standing
-34,31,4,22:53:58,Long Standing
34,-24,-6,22:53:59,Long Standing
43,-21,-7,22:54:00,Long Standing
42,-21,-7,22:54:00,Long Standing
44,-21,-5,22:54:01,Long Standing
42,-21,-6,22:54:01,Long Standing
43,-21,-7,22:54:02,Long Standing
43,-20,-8,22:54:02,Long Standing
44,-21,-8,22:54:03,Long Standing
42,-23,-6,22:54:03,Long Standing
44,-21,-6,22:54:04,Long Standing
43,-20,-6,22:54:04,Long Standing
43,-21,-5,22:54:05,Long Standing
43,-21,-6,22:54:05,Long Standing
43,-21,-6,22:54:06,Long Standing
43,-21,-5,22:54:06,Long Standing
43,-21,-6,22:54:07,Long Standing
42,-21,-7,22:54:07,Long Standing
43,-21,-7,22:54:08,Long Standing
40,-21,-7,22:54:08,Long Standing
44,-21,-5,22:54:09,Long Standing
43,-20,-5,22:54:09,Long Standing
43,-21,-5,22:54:10,Long Standing
43,-21,-5,22:54:10,Long Standing
44,-21,-6,22:54:11,Long Standing
43,-21,-5,22:54:11,Long Standing
43,-21,-5,22:54:12,Long Standing
43,-21,-5,22:54:12,Long Standing
43,-21,-5,22:54:13,Long Standing
42,-20,-6,22:54:13,Long Standing
41,-26,-2,22:54:14,Long Standing
24,-40,-3,22:54:14,Bowing
7,-47,-8,22:54:15,Bowing
-12,-46,-16,22:54:15,Bowing
-3,-42,-22,22:54:16,Bowing
0,-42,-23,22:54:16,Bowing
0,-43,-23,22:54:17,Bowing
0,-42,-22,22:54:17,Bowing
0,-42,-24,22:54:18,Bowing
0,-42,-24,22:54:18,Bowing
0,-48,-15,22:54:19,Bowing
13,-38,2,22:54:19,Short Standing
17,-46,12,22:54:20,Short Standing
14,-45,9,22:54:20,Short Standing
12,-46,8,22:54:21,Short Standing
14,-46,8,22:54:21,Short Standing
14,-54,3,22:54:22,Short Standing
15,-34,-6,22:54:22,Prostration
42,-41,23,22:54:23,Prostration
23,-49,22,22:54:23,Prostration
33,0,17,22:54:24,Prostration
38,-15,24,22:54:24,Prostration
36,-27,19,22:54:25,Prostration
34,-28,18,22:54:25,Prostration
35,-28,19,22:54:26,Prostration
35,-27,19,22:54:26,Prostration
35,-27,19,22:54:27,Prostration
35,-27,19,22:54:27,Prostration
32,-22,30,22:54:28,Prostration
24,-38,28,22:54:28,Sitting
12,-12,42,22:54:29,Sitting
18,-4,44,22:54:29,Sitting
21,-9,42,22:54:30,Sitting
23,-6,46,22:54:30,Sitting
17,-7,39,22:54:31,Sitting
